"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"null"
"exp1_baseline"
"08/07/2026 20:13:58:949 +0800"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","treatment","targeting-mode","network-type","p0","num-nodes","ba-m","ws-rewire-prob","beta0","amplification","super-ratio","legal-strength","legal-response-time","legal-accuracy","platform-accuracy","platform-speed","lambda-weight","max-ticks","[step]","effectiveness","over-removal-rate","net-effectiveness","removal-precision","error-rate","current-pollution-rate","count-wrongly-removed","deleted-count","false-deleted"
"5","none","targeted","BA","10","1000","2","0.1","0.1","0.5","1","70","5","95","80","75","1","50","18","2.799999999999997","0","2.799999999999997","0","0","97.2","0","0","0"
"3","none","targeted","BA","10","1000","2","0.1","0.1","0.5","1","70","5","95","80","75","1","50","19","2.1000000000000085","0","2.1000000000000085","0","0","97.89999999999999","0","0","0"
"6","none","targeted","BA","10","1000","2","0.1","0.1","0.5","1","70","5","95","80","75","1","50","19","3.1000000000000085","0","3.1000000000000085","0","0","96.89999999999999","0","0","0"
"2","none","targeted","BA","10","1000","2","0.1","0.1","0.5","1","70","5","95","80","75","1","50","21","2.299999999999997","0","2.299999999999997","0","0","97.7","0","0","0"
"1","none","targeted","BA","10","1000","2","0.1","0.1","0.5","1","70","5","95","80","75","1","50","18","4","0","4","0","0","96","0","0","0"
"4","none","targeted","BA","10","1000","2","0.1","0.1","0.5","1","70","5","95","80","75","1","50","20","2.700000000000003","0","2.700000000000003","0","0","97.3","0","0","0"
"3","none","targeted","BA","10","1000","2","0.1","0.1","0.5","1","70","5","95","80","75","1","50","20","1.5","0","1.5","0","0","98.5","0","0","0"
"5","none","targeted","BA","10","1000","2","0.1","0.1","0.5","1","70","5","95","80","75","1","50","19","2","0","2","0","0","98","0","0","0"
"6","none","targeted","BA","10","1000","2","0.1","0.1","0.5","1","70","5","95","80","75","1","50","20","2.5","0","2.5","0","0","97.5","0","0","0"
"2","none","targeted","BA","10","1000","2","0.1","0.1","0.5","1","70","5","95","80","75","1","50","22","1.2999999999999972","0","1.2999999999999972","0","0","98.7","0","0","0"
"4","none","targeted","BA","10","1000","2","0.1","0.1","0.5","1","70","5","95","80","75","1","50","21","1.7999999999999972","0","1.7999999999999972","0","0","98.2","0","0","0"
"3","none","targeted","BA","10","1000","2","0.1","0.1","0.5","1","70","5","95","80","75","1","50","21","0.9000000000000057","0","0.9000000000000057","0","0","99.1","0","0","0"
"1","none","targeted","BA","10","1000","2","0.1","0.1","0.5","1","70","5","95","80","75","1","50","19","3.6000000000000085","0","3.6000000000000085","0","0","96.39999999999999","0","0","0"
"5","none","targeted","BA","10","1000","2","0.1","0.1","0.5","1","70","5","95","80","75","1","50","20","1.0999999999999943","0","1.0999999999999943","0","0","98.9","0","0","0"
"2","none","targeted","BA","10","1000","2","0.1","0.1","0.5","1","70","5","95","80","75","1","50","23","0.7000000000000028","0","0.7000000000000028","0","0","99.3","0","0","0"
"6","none","targeted","BA","10","1000","2","0.1","0.1","0.5","1","70","5","95","80","75","1","50","21","1.9000000000000057","0","1.9000000000000057","0","0","98.1","0","0","0"
"4","none","targeted","BA","10","1000","2","0.1","0.1","0.5","1","70","5","95","80","75","1","50","22","1.4000000000000057","0","1.4000000000000057","0","0","98.6","0","0","0"
"3","none","targeted","BA","10","1000","2","0.1","0.1","0.5","1","70","5","95","80","75","1","50","22","0.7000000000000028","0","0.7000000000000028","0","0","99.3","0","0","0"
"1","none","targeted","BA","10","1000","2","0.1","0.1","0.5","1","70","5","95","80","75","1","50","20","2.9000000000000057","0","2.9000000000000057","0","0","97.1","0","0","0"
"5","none","targeted","BA","10","1000","2","0.1","0.1","0.5","1","70","5","95","80","75","1","50","21","0.7999999999999972","0","0.7999999999999972","0","0","99.2","0","0","0"
"6","none","targeted","BA","10","1000","2","0.1","0.1","0.5","1","70","5","95","80","75","1","50","22","1.4000000000000057","0","1.4000000000000057","0","0","98.6","0","0","0"
"2","none","targeted","BA","10","1000","2","0.1","0.1","0.5","1","70","5","95","80","75","1","50","24","0.5","0","0.5","0","0","99.5","0","0","0"
"4","none","targeted","BA","10","1000","2","0.1","0.1","0.5","1","70","5","95","80","75","1","50","23","1.2000000000000028","0","1.2000000000000028","0","0","98.8","0","0","0"
"3","none","targeted","BA","10","1000","2","0.1","0.1","0.5","1","70","5","95","80","75","1","50","23","0.5","0","0.5","0","0","99.5","0","0","0"
"5","none","targeted","BA","10","1000","2","0.1","0.1","0.5","1","70","5","95","80","75","1","50","22","0.7000000000000028","0","0.7000000000000028","0","0","99.3","0","0","0"
"4","none","targeted","BA","10","1000","2","0.1","0.1","0.5","1","70","5","95","80","75","1","50","24","1","0","1","0","0","99","0","0","0"
"2","none","targeted","BA","10","1000","2","0.1","0.1","0.5","1","70","5","95","80","75","1","50","25","0.4000000000000057","0","0.4000000000000057","0","0","99.6","0","0","0"
"6","none","targeted","BA","10","1000","2","0.1","0.1","0.5","1","70","5","95","80","75","1","50","23","1.2000000000000028","0","1.2000000000000028","0","0","98.8","0","0","0"
"1","none","targeted","BA","10","1000","2","0.1","0.1","0.5","1","70","5","95","80","75","1","50","21","2.4000000000000057","0","2.4000000000000057","0","0","97.6","0","0","0"
"3","none","targeted","BA","10","1000","2","0.1","0.1","0.5","1","70","5","95","80","75","1","50","24","0.4000000000000057","0","0.4000000000000057","0","0","99.6","0","0","0"
"5","none","targeted","BA","10","1000","2","0.1","0.1","0.5","1","70","5","95","80","75","1","50","23","0.7000000000000028","0","0.7000000000000028","0","0","99.3","0","0","0"
"4","none","targeted","BA","10","1000","2","0.1","0.1","0.5","1","70","5","95","80","75","1","50","25","1","0","1","0","0","99","0","0","0"
"6","none","targeted","BA","10","1000","2","0.1","0.1","0.5","1","70","5","95","80","75","1","50","24","0.9000000000000057","0","0.9000000000000057","0","0","99.1","0","0","0"
"3","none","targeted","BA","10","1000","2","0.1","0.1","0.5","1","70","5","95","80","75","1","50","25","0.4000000000000057","0","0.4000000000000057","0","0","99.6","0","0","0"
